commandline arguments: Namespace(input='.\\maps\\BASIC_OFFICE_LAYOUT', numpeople=200, random_state=8675309, max_time=None, no_spread_fire=False, no_graphical_output=False, output=False, fire_rate=2, bottleneck_delay=0.2, animation_delay=1, scale=8, speed=3.0, sample_k=8, sample_seed=123, seconds_per_unit=1.0, start_delay_dist='none', start_delay=0.0, start_delay_std=0.0) 

===============================================================================
initialized a 64x50 floor with 200 people in 2400 locations
initialized 12 bottleneck(s)
detected 0 fire zone(s)

good luck escaping!
===============================================================================
LOGS
INFO	 fire disabled (treated as walls)
ROOM-EXIT	 t=   9.254 s	 person    6 left room 4 (OFFICE_RIGHT1) occ=1 area=100.00 m^2
ROOM-EXIT	 t=   9.325 s	 person  103 left room 7 (HALLWAY) occ=159 area=93.00 m^2
ROOM-EXIT	 t=   9.484 s	 person   79 left room 1 (OFFICE_LEFT1) occ=2 area=100.00 m^2
ROOM-EXIT	 t=   9.498 s	 person   41 left room 2 (OFFICE_LEFT2) occ=1 area=100.00 m^2
ROOM-EXIT	 t=   9.691 s	 person  105 left room 5 (OFFICE_RIGHT2) occ=2 area=100.00 m^2
ROOM-EXIT	 t=   9.786 s	 person  161 left room 7 (HALLWAY) occ=164 area=93.00 m^2
ROOM-EXIT	 t=  10.060 s	 person  172 left room 7 (HALLWAY) occ=166 area=93.00 m^2
ROOM-EXIT	 t=  10.081 s	 person   49 left room 7 (HALLWAY) occ=165 area=93.00 m^2
ROOM-EXIT	 t=  10.152 s	 person   84 left room 7 (HALLWAY) occ=164 area=93.00 m^2
ROOM-EXIT	 t=  10.190 s	 person   39 left room 7 (HALLWAY) occ=163 area=93.00 m^2
ROOM-EXIT	 t=  10.227 s	 person   40 left room 7 (HALLWAY) occ=163 area=93.00 m^2
ROOM-EXIT	 t=  10.236 s	 person  114 left room 5 (OFFICE_RIGHT2) occ=1 area=100.00 m^2
ROOM-EXIT	 t=  10.265 s	 person   35 left room 7 (HALLWAY) occ=162 area=93.00 m^2
ROOM-EXIT	 t=  10.406 s	 person  167 left room 1 (OFFICE_LEFT1) occ=1 area=100.00 m^2
ROOM-EXIT	 t=  10.412 s	 person  117 left room 7 (HALLWAY) occ=162 area=93.00 m^2
ROOM-EXIT	 t=  10.420 s	 person  128 left room 7 (HALLWAY) occ=161 area=93.00 m^2
ROOM-EXIT	 t=  10.458 s	 person   70 left room 7 (HALLWAY) occ=160 area=93.00 m^2
ROOM-EXIT	 t=  10.463 s	 person  104 left room 7 (HALLWAY) occ=159 area=93.00 m^2
ROOM-EXIT	 t=  10.543 s	 person  175 left room 7 (HALLWAY) occ=158 area=93.00 m^2
ROOM-EXIT	 t=  10.592 s	 person   90 left room 7 (HALLWAY) occ=157 area=93.00 m^2
ROOM-EXIT	 t=  10.608 s	 person  102 left room 7 (HALLWAY) occ=157 area=93.00 m^2
ROOM-EXIT	 t=  10.612 s	 person   46 left room 7 (HALLWAY) occ=156 area=93.00 m^2
ROOM-EXIT	 t=  10.642 s	 person   62 left room 7 (HALLWAY) occ=155 area=93.00 m^2
ROOM-EXIT	 t=  10.652 s	 person   60 left room 7 (HALLWAY) occ=154 area=93.00 m^2
ROOM-EXIT	 t=  10.693 s	 person   38 left room 7 (HALLWAY) occ=153 area=93.00 m^2
ROOM-EXIT	 t=  10.754 s	 person   74 left room 7 (HALLWAY) occ=152 area=93.00 m^2
ROOM-EXIT	 t=  10.794 s	 person    0 left room 7 (HALLWAY) occ=151 area=93.00 m^2
ROOM-EXIT	 t=  10.863 s	 person  183 left room 7 (HALLWAY) occ=150 area=93.00 m^2
ROOM-EXIT	 t=  10.931 s	 person  198 left room 3 (OFFICE_LEFT3) occ=2 area=100.00 m^2
ROOM-EXIT	 t=  10.942 s	 person   80 left room 7 (HALLWAY) occ=149 area=93.00 m^2
ROOM-EXIT	 t=  11.000 s	 person  115 left room 7 (HALLWAY) occ=149 area=93.00 m^2
ROOM-EXIT	 t=  11.001 s	 person  138 left room 7 (HALLWAY) occ=148 area=93.00 m^2
ROOM-EXIT	 t=  11.011 s	 person   13 left room 7 (HALLWAY) occ=147 area=93.00 m^2
ROOM-EXIT	 t=  11.038 s	 person  158 left room 7 (HALLWAY) occ=146 area=93.00 m^2
ROOM-EXIT	 t=  11.043 s	 person   53 left room 7 (HALLWAY) occ=145 area=93.00 m^2
ROOM-EXIT	 t=  11.074 s	 person  142 left room 7 (HALLWAY) occ=144 area=93.00 m^2
ROOM-EXIT	 t=  11.124 s	 person  125 left room 7 (HALLWAY) occ=143 area=93.00 m^2
ROOM-EXIT	 t=  11.155 s	 person   87 left room 7 (HALLWAY) occ=142 area=93.00 m^2
ROOM-EXIT	 t=  11.176 s	 person   47 left room 7 (HALLWAY) occ=141 area=93.00 m^2
ROOM-EXIT	 t=  11.181 s	 person  186 left room 7 (HALLWAY) occ=140 area=93.00 m^2
ROOM-EXIT	 t=  11.188 s	 person  136 left room 7 (HALLWAY) occ=139 area=93.00 m^2
ROOM-EXIT	 t=  11.190 s	 person  174 left room 7 (HALLWAY) occ=138 area=93.00 m^2
ROOM-EXIT	 t=  11.284 s	 person  100 left room 6 (OFFICE_RIGHT3) occ=1 area=100.00 m^2
ROOM-EXIT	 t=  11.298 s	 person  133 left room 7 (HALLWAY) occ=137 area=93.00 m^2
ROOM-EXIT	 t=  11.382 s	 person   24 left room 7 (HALLWAY) occ=136 area=93.00 m^2
ROOM-EXIT	 t=  11.397 s	 person  166 left room 7 (HALLWAY) occ=135 area=93.00 m^2
ROOM-EXIT	 t=  11.436 s	 person  146 left room 7 (HALLWAY) occ=135 area=93.00 m^2
ROOM-EXIT	 t=  11.665 s	 person   28 left room 7 (HALLWAY) occ=134 area=93.00 m^2
ROOM-EXIT	 t=  11.746 s	 person  111 left room 7 (HALLWAY) occ=133 area=93.00 m^2
ROOM-EXIT	 t=  11.830 s	 person  171 left room 7 (HALLWAY) occ=132 area=93.00 m^2
ROOM-EXIT	 t=  11.884 s	 person  122 left room 7 (HALLWAY) occ=131 area=93.00 m^2
ROOM-EXIT	 t=  11.889 s	 person   92 left room 7 (HALLWAY) occ=130 area=93.00 m^2
ROOM-EXIT	 t=  11.908 s	 person   99 left room 7 (HALLWAY) occ=129 area=93.00 m^2
ROOM-EXIT	 t=  11.924 s	 person  101 left room 7 (HALLWAY) occ=128 area=93.00 m^2
ROOM-EXIT	 t=  11.936 s	 person  178 left room 3 (OFFICE_LEFT3) occ=1 area=100.00 m^2
ROOM-EXIT	 t=  11.972 s	 person  120 left room 7 (HALLWAY) occ=127 area=93.00 m^2
ROOM-EXIT	 t=  12.029 s	 person   75 left room 7 (HALLWAY) occ=127 area=93.00 m^2
ROOM-EXIT	 t=  12.103 s	 person  123 left room 7 (HALLWAY) occ=126 area=93.00 m^2
ROOM-EXIT	 t=  12.162 s	 person    3 left room 7 (HALLWAY) occ=125 area=93.00 m^2
ROOM-EXIT	 t=  12.255 s	 person  147 left room 7 (HALLWAY) occ=124 area=93.00 m^2
ROOM-EXIT	 t=  12.300 s	 person  188 left room 7 (HALLWAY) occ=123 area=93.00 m^2
ROOM-EXIT	 t=  12.371 s	 person  119 left room 7 (HALLWAY) occ=122 area=93.00 m^2
ROOM-EXIT	 t=  12.460 s	 person  135 left room 7 (HALLWAY) occ=121 area=93.00 m^2
ROOM-EXIT	 t=  12.584 s	 person   72 left room 7 (HALLWAY) occ=120 area=93.00 m^2
ROOM-EXIT	 t=  12.645 s	 person   56 left room 7 (HALLWAY) occ=119 area=93.00 m^2
ROOM-EXIT	 t=  12.769 s	 person    4 left room 7 (HALLWAY) occ=118 area=93.00 m^2
ROOM-EXIT	 t=  12.799 s	 person    7 left room 7 (HALLWAY) occ=117 area=93.00 m^2
ROOM-EXIT	 t=  12.813 s	 person   93 left room 7 (HALLWAY) occ=116 area=93.00 m^2
ROOM-EXIT	 t=  12.935 s	 person   25 left room 7 (HALLWAY) occ=115 area=93.00 m^2
ROOM-EXIT	 t=  12.985 s	 person   30 left room 7 (HALLWAY) occ=114 area=93.00 m^2
ROOM-EXIT	 t=  13.053 s	 person    9 left room 7 (HALLWAY) occ=113 area=93.00 m^2
ROOM-EXIT	 t=  13.063 s	 person  140 left room 7 (HALLWAY) occ=112 area=93.00 m^2
ROOM-EXIT	 t=  13.064 s	 person  112 left room 7 (HALLWAY) occ=111 area=93.00 m^2
ROOM-EXIT	 t=  13.085 s	 person   58 left room 7 (HALLWAY) occ=110 area=93.00 m^2
ROOM-EXIT	 t=  13.122 s	 person  195 left room 7 (HALLWAY) occ=109 area=93.00 m^2
ROOM-EXIT	 t=  13.138 s	 person  110 left room 7 (HALLWAY) occ=108 area=93.00 m^2
ROOM-EXIT	 t=  13.139 s	 person  108 left room 7 (HALLWAY) occ=107 area=93.00 m^2
ROOM-EXIT	 t=  13.169 s	 person  139 left room 7 (HALLWAY) occ=106 area=93.00 m^2
ROOM-EXIT	 t=  13.171 s	 person   31 left room 7 (HALLWAY) occ=105 area=93.00 m^2
ROOM-EXIT	 t=  13.180 s	 person  134 left room 7 (HALLWAY) occ=104 area=93.00 m^2
ROOM-EXIT	 t=  13.198 s	 person  124 left room 7 (HALLWAY) occ=103 area=93.00 m^2
ROOM-EXIT	 t=  13.205 s	 person  162 left room 7 (HALLWAY) occ=102 area=93.00 m^2
ROOM-EXIT	 t=  13.275 s	 person  129 left room 7 (HALLWAY) occ=101 area=93.00 m^2
ROOM-EXIT	 t=  13.322 s	 person   95 left room 7 (HALLWAY) occ=100 area=93.00 m^2
ROOM-EXIT	 t=  13.384 s	 person   64 left room 7 (HALLWAY) occ=99 area=93.00 m^2
ROOM-EXIT	 t=  13.385 s	 person  197 left room 7 (HALLWAY) occ=98 area=93.00 m^2
ROOM-EXIT	 t=  13.469 s	 person   20 left room 7 (HALLWAY) occ=97 area=93.00 m^2
ROOM-EXIT	 t=  13.493 s	 person   23 left room 7 (HALLWAY) occ=96 area=93.00 m^2
ROOM-EXIT	 t=  13.511 s	 person  109 left room 7 (HALLWAY) occ=95 area=93.00 m^2
ROOM-EXIT	 t=  13.529 s	 person  145 left room 7 (HALLWAY) occ=94 area=93.00 m^2
ROOM-EXIT	 t=  13.552 s	 person  180 left room 7 (HALLWAY) occ=93 area=93.00 m^2
ROOM-EXIT	 t=  13.591 s	 person   86 left room 7 (HALLWAY) occ=92 area=93.00 m^2
ROOM-EXIT	 t=  13.618 s	 person   16 left room 7 (HALLWAY) occ=91 area=93.00 m^2
ROOM-EXIT	 t=  13.645 s	 person   42 left room 7 (HALLWAY) occ=90 area=93.00 m^2
ROOM-EXIT	 t=  13.725 s	 person   37 left room 7 (HALLWAY) occ=89 area=93.00 m^2
ROOM-EXIT	 t=  13.870 s	 person   33 left room 7 (HALLWAY) occ=88 area=93.00 m^2
ROOM-EXIT	 t=  13.877 s	 person   67 left room 7 (HALLWAY) occ=87 area=93.00 m^2
ROOM-EXIT	 t=  13.922 s	 person   85 left room 7 (HALLWAY) occ=86 area=93.00 m^2
ROOM-EXIT	 t=  13.997 s	 person  177 left room 7 (HALLWAY) occ=85 area=93.00 m^2
ROOM-EXIT	 t=  13.997 s	 person  141 left room 7 (HALLWAY) occ=84 area=93.00 m^2
ROOM-EXIT	 t=  14.026 s	 person   78 left room 7 (HALLWAY) occ=83 area=93.00 m^2
ROOM-EXIT	 t=  14.039 s	 person  116 left room 7 (HALLWAY) occ=82 area=93.00 m^2
ROOM-EXIT	 t=  14.040 s	 person   83 left room 7 (HALLWAY) occ=81 area=93.00 m^2
ROOM-EXIT	 t=  14.053 s	 person  189 left room 7 (HALLWAY) occ=80 area=93.00 m^2
ROOM-EXIT	 t=  14.058 s	 person  148 left room 7 (HALLWAY) occ=79 area=93.00 m^2
ROOM-EXIT	 t=  14.079 s	 person   89 left room 7 (HALLWAY) occ=78 area=93.00 m^2
ROOM-EXIT	 t=  14.087 s	 person  107 left room 7 (HALLWAY) occ=77 area=93.00 m^2
ROOM-EXIT	 t=  14.141 s	 person   94 left room 7 (HALLWAY) occ=76 area=93.00 m^2
ROOM-EXIT	 t=  14.209 s	 person   45 left room 7 (HALLWAY) occ=75 area=93.00 m^2
ROOM-EXIT	 t=  14.232 s	 person  118 left room 7 (HALLWAY) occ=74 area=93.00 m^2
ROOM-EXIT	 t=  14.340 s	 person   61 left room 7 (HALLWAY) occ=73 area=93.00 m^2
ROOM-EXIT	 t=  14.346 s	 person   19 left room 7 (HALLWAY) occ=72 area=93.00 m^2
ROOM-EXIT	 t=  14.420 s	 person  173 left room 7 (HALLWAY) occ=71 area=93.00 m^2
ROOM-EXIT	 t=  14.447 s	 person   44 left room 7 (HALLWAY) occ=70 area=93.00 m^2
ROOM-EXIT	 t=  14.452 s	 person   10 left room 7 (HALLWAY) occ=69 area=93.00 m^2
ROOM-EXIT	 t=  14.527 s	 person   77 left room 7 (HALLWAY) occ=68 area=93.00 m^2
ROOM-EXIT	 t=  14.576 s	 person  149 left room 7 (HALLWAY) occ=67 area=93.00 m^2
ROOM-EXIT	 t=  14.594 s	 person   71 left room 7 (HALLWAY) occ=66 area=93.00 m^2
ROOM-EXIT	 t=  14.644 s	 person    6 left room 7 (HALLWAY) occ=65 area=93.00 m^2
ROOM-EXIT	 t=  14.649 s	 person  144 left room 7 (HALLWAY) occ=64 area=93.00 m^2
ROOM-EXIT	 t=  14.656 s	 person   34 left room 7 (HALLWAY) occ=63 area=93.00 m^2
ROOM-EXIT	 t=  14.672 s	 person   50 left room 7 (HALLWAY) occ=62 area=93.00 m^2
ROOM-EXIT	 t=  14.759 s	 person  169 left room 7 (HALLWAY) occ=61 area=93.00 m^2
ROOM-EXIT	 t=  14.962 s	 person    8 left room 7 (HALLWAY) occ=60 area=93.00 m^2
ROOM-EXIT	 t=  14.965 s	 person  127 left room 7 (HALLWAY) occ=59 area=93.00 m^2
ROOM-EXIT	 t=  15.080 s	 person   73 left room 7 (HALLWAY) occ=58 area=93.00 m^2
ROOM-EXIT	 t=  15.080 s	 person   12 left room 7 (HALLWAY) occ=57 area=93.00 m^2
ROOM-EXIT	 t=  15.089 s	 person   98 left room 7 (HALLWAY) occ=56 area=93.00 m^2
ROOM-EXIT	 t=  15.096 s	 person  170 left room 7 (HALLWAY) occ=55 area=93.00 m^2
ROOM-EXIT	 t=  15.108 s	 person   18 left room 7 (HALLWAY) occ=54 area=93.00 m^2
ROOM-EXIT	 t=  15.155 s	 person   14 left room 7 (HALLWAY) occ=53 area=93.00 m^2
ROOM-EXIT	 t=  15.159 s	 person   79 left room 7 (HALLWAY) occ=52 area=93.00 m^2
ROOM-EXIT	 t=  15.220 s	 person  181 left room 7 (HALLWAY) occ=51 area=93.00 m^2
ROOM-EXIT	 t=  15.238 s	 person  182 left room 7 (HALLWAY) occ=50 area=93.00 m^2
ROOM-EXIT	 t=  15.333 s	 person   48 left room 7 (HALLWAY) occ=49 area=93.00 m^2
ROOM-EXIT	 t=  15.369 s	 person   55 left room 7 (HALLWAY) occ=48 area=93.00 m^2
ROOM-EXIT	 t=  15.490 s	 person  179 left room 7 (HALLWAY) occ=47 area=93.00 m^2
ROOM-EXIT	 t=  15.499 s	 person  155 left room 7 (HALLWAY) occ=46 area=93.00 m^2
ROOM-EXIT	 t=  15.533 s	 person  157 left room 7 (HALLWAY) occ=45 area=93.00 m^2
ROOM-EXIT	 t=  15.564 s	 person  143 left room 7 (HALLWAY) occ=44 area=93.00 m^2
ROOM-EXIT	 t=  15.610 s	 person  164 left room 7 (HALLWAY) occ=43 area=93.00 m^2
ROOM-EXIT	 t=  15.634 s	 person   15 left room 7 (HALLWAY) occ=42 area=93.00 m^2
ROOM-EXIT	 t=  15.670 s	 person  126 left room 7 (HALLWAY) occ=41 area=93.00 m^2
ROOM-EXIT	 t=  15.825 s	 person  131 left room 7 (HALLWAY) occ=40 area=93.00 m^2
ROOM-EXIT	 t=  15.843 s	 person  191 left room 7 (HALLWAY) occ=39 area=93.00 m^2
ROOM-EXIT	 t=  16.058 s	 person   82 left room 7 (HALLWAY) occ=38 area=93.00 m^2
ROOM-EXIT	 t=  16.128 s	 person  167 left room 7 (HALLWAY) occ=37 area=93.00 m^2
ROOM-EXIT	 t=  16.146 s	 person  152 left room 7 (HALLWAY) occ=36 area=93.00 m^2
ROOM-EXIT	 t=  16.207 s	 person   81 left room 7 (HALLWAY) occ=35 area=93.00 m^2
ROOM-EXIT	 t=  16.528 s	 person  154 left room 7 (HALLWAY) occ=34 area=93.00 m^2
ROOM-EXIT	 t=  16.576 s	 person   69 left room 7 (HALLWAY) occ=33 area=93.00 m^2
ROOM-EXIT	 t=  16.609 s	 person   88 left room 7 (HALLWAY) occ=32 area=93.00 m^2
ROOM-EXIT	 t=  16.718 s	 person   63 left room 7 (HALLWAY) occ=31 area=93.00 m^2
ROOM-EXIT	 t=  16.807 s	 person  198 left room 7 (HALLWAY) occ=30 area=93.00 m^2
ROOM-EXIT	 t=  16.813 s	 person   11 left room 7 (HALLWAY) occ=29 area=93.00 m^2
ROOM-EXIT	 t=  16.882 s	 person  192 left room 7 (HALLWAY) occ=28 area=93.00 m^2
ROOM-EXIT	 t=  17.363 s	 person   54 left room 7 (HALLWAY) occ=27 area=93.00 m^2
ROOM-EXIT	 t=  17.476 s	 person    2 left room 7 (HALLWAY) occ=26 area=93.00 m^2
ROOM-EXIT	 t=  17.483 s	 person  132 left room 7 (HALLWAY) occ=25 area=93.00 m^2
ROOM-EXIT	 t=  17.522 s	 person   36 left room 7 (HALLWAY) occ=24 area=93.00 m^2
ROOM-EXIT	 t=  17.529 s	 person  185 left room 7 (HALLWAY) occ=23 area=93.00 m^2
ROOM-EXIT	 t=  17.686 s	 person   21 left room 7 (HALLWAY) occ=22 area=93.00 m^2
ROOM-EXIT	 t=  17.904 s	 person  190 left room 7 (HALLWAY) occ=21 area=93.00 m^2
ROOM-EXIT	 t=  18.427 s	 person   65 left room 7 (HALLWAY) occ=20 area=93.00 m^2
ROOM-EXIT	 t=  18.440 s	 person   68 left room 7 (HALLWAY) occ=19 area=93.00 m^2
ROOM-EXIT	 t=  18.482 s	 person  163 left room 7 (HALLWAY) occ=18 area=93.00 m^2
ROOM-EXIT	 t=  18.729 s	 person  137 left room 7 (HALLWAY) occ=17 area=93.00 m^2
ROOM-EXIT	 t=  18.764 s	 person  178 left room 7 (HALLWAY) occ=16 area=93.00 m^2
ROOM-EXIT	 t=  18.778 s	 person  100 left room 7 (HALLWAY) occ=15 area=93.00 m^2
ROOM-EXIT	 t=  19.226 s	 person  193 left room 7 (HALLWAY) occ=14 area=93.00 m^2
ROOM-EXIT	 t=  19.340 s	 person   26 left room 7 (HALLWAY) occ=13 area=93.00 m^2
ROOM-EXIT	 t=  19.349 s	 person   43 left room 7 (HALLWAY) occ=12 area=93.00 m^2
ROOM-EXIT	 t=  19.409 s	 person  159 left room 7 (HALLWAY) occ=11 area=93.00 m^2
ROOM-EXIT	 t=  19.937 s	 person  176 left room 7 (HALLWAY) occ=10 area=93.00 m^2
ROOM-EXIT	 t=  19.940 s	 person   97 left room 7 (HALLWAY) occ=9 area=93.00 m^2
ROOM-EXIT	 t=  20.218 s	 person  196 left room 7 (HALLWAY) occ=8 area=93.00 m^2
ROOM-EXIT	 t=  20.395 s	 person  184 left room 7 (HALLWAY) occ=7 area=93.00 m^2
ROOM-EXIT	 t=  20.414 s	 person   57 left room 7 (HALLWAY) occ=6 area=93.00 m^2
ROOM-EXIT	 t=  21.645 s	 person  105 left room 7 (HALLWAY) occ=5 area=93.00 m^2
ROOM-EXIT	 t=  21.655 s	 person   41 left room 7 (HALLWAY) occ=4 area=93.00 m^2
ROOM-EXIT	 t=  21.708 s	 person  113 left room 7 (HALLWAY) occ=3 area=93.00 m^2
ROOM-EXIT	 t=  21.983 s	 person  106 left room 7 (HALLWAY) occ=2 area=93.00 m^2
ROOM-EXIT	 t=  23.392 s	 person  114 left room 7 (HALLWAY) occ=1 area=93.00 m^2


===============================================================================
STATS
	 total # people ......................................... 200
	 # people safe .......................................... 200
	 # people dead ............................................ 0
	 # people gravely injured ................................. 0

	 average time to safe .............................. 13.729 s
	 total evacuation time ............................. 23.786 s

AGENTS (200 total)
  id    0 | status    safe | exit_time   11.123 s | start (np.int64(0), np.int64(4), np.int64(32)) -> final (0, 0, 25)
  id    1 | status    safe | exit_time    9.513 s | start (np.int64(0), np.int64(16), np.int64(37)) -> final (0, 0, 25)
  id    2 | status    safe | exit_time   17.842 s | start (np.int64(0), np.int64(33), np.int64(41)) -> final (0, 63, 25)
  id    3 | status    safe | exit_time   12.489 s | start (np.int64(0), np.int64(2), np.int64(34)) -> final (0, 0, 25)
  id    4 | status    safe | exit_time   13.121 s | start (np.int64(0), np.int64(11), np.int64(40)) -> final (0, 0, 25)
  id    5 | status    safe | exit_time    8.202 s | start (np.int64(0), np.int64(54), np.int64(19)) -> final (0, 63, 24)
  id    6 | status    safe | exit_time   14.952 s | start (np.int64(0), np.int64(2), np.int64(45)) -> final (0, 0, 25)
  id    7 | status    safe | exit_time   13.176 s | start (np.int64(0), np.int64(5), np.int64(14)) -> final (0, 0, 24)
  id    8 | status    safe | exit_time   15.301 s | start (np.int64(0), np.int64(59), np.int64(44)) -> final (0, 63, 25)
  id    9 | status    safe | exit_time   13.397 s | start (np.int64(0), np.int64(4), np.int64(31)) -> final (0, 0, 25)
  id   10 | status    safe | exit_time   14.793 s | start (np.int64(0), np.int64(31), np.int64(37)) -> final (0, 0, 25)
  id   11 | status    safe | exit_time   17.134 s | start (np.int64(0), np.int64(30), np.int64(3)) -> final (0, 0, 24)
  id   12 | status    safe | exit_time   15.414 s | start (np.int64(0), np.int64(11), np.int64(11)) -> final (0, 0, 24)
  id   13 | status    safe | exit_time   11.306 s | start (np.int64(0), np.int64(20), np.int64(43)) -> final (0, 0, 25)
  id   14 | status    safe | exit_time   15.500 s | start (np.int64(0), np.int64(35), np.int64(13)) -> final (0, 63, 24)
  id   15 | status    safe | exit_time   16.023 s | start (np.int64(0), np.int64(36), np.int64(18)) -> final (0, 63, 24)
  id   16 | status    safe | exit_time   13.948 s | start (np.int64(0), np.int64(51), np.int64(48)) -> final (0, 63, 25)
  id   17 | status    safe | exit_time    9.417 s | start (np.int64(0), np.int64(45), np.int64(12)) -> final (0, 63, 24)
  id   18 | status    safe | exit_time   15.469 s | start (np.int64(0), np.int64(39), np.int64(29)) -> final (0, 63, 25)
  id   19 | status    safe | exit_time   14.690 s | start (np.int64(0), np.int64(33), np.int64(15)) -> final (0, 63, 24)
  id   20 | status    safe | exit_time   13.838 s | start (np.int64(0), np.int64(8), np.int64(10)) -> final (0, 0, 24)
  id   21 | status    safe | exit_time   18.010 s | start (np.int64(0), np.int64(22), np.int64(9)) -> final (0, 0, 24)
  id   22 | status    safe | exit_time    8.332 s | start (np.int64(0), np.int64(49), np.int64(16)) -> final (0, 63, 24)
  id   23 | status    safe | exit_time   13.799 s | start (np.int64(0), np.int64(22), np.int64(19)) -> final (0, 0, 24)
  id   24 | status    safe | exit_time   11.687 s | start (np.int64(0), np.int64(12), np.int64(45)) -> final (0, 0, 25)
  id   25 | status    safe | exit_time   13.273 s | start (np.int64(0), np.int64(33), np.int64(32)) -> final (0, 63, 25)
  id   26 | status    safe | exit_time   19.726 s | start (np.int64(0), np.int64(29), np.int64(43)) -> final (0, 0, 25)
  id   27 | status    safe | exit_time    9.313 s | start (np.int64(0), np.int64(13), np.int64(38)) -> final (0, 0, 25)
  id   28 | status    safe | exit_time   11.998 s | start (np.int64(0), np.int64(57), np.int64(12)) -> final (0, 63, 24)
  id   29 | status    safe | exit_time    9.155 s | start (np.int64(0), np.int64(15), np.int64(35)) -> final (0, 0, 25)
  id   30 | status    safe | exit_time   13.361 s | start (np.int64(0), np.int64(15), np.int64(4)) -> final (0, 0, 24)
  id   31 | status    safe | exit_time   13.558 s | start (np.int64(0), np.int64(62), np.int64(31)) -> final (0, 63, 25)
  id   32 | status    safe | exit_time    9.440 s | start (np.int64(0), np.int64(52), np.int64(33)) -> final (0, 63, 25)
  id   33 | status    safe | exit_time   14.254 s | start (np.int64(0), np.int64(33), np.int64(30)) -> final (0, 63, 25)
  id   34 | status    safe | exit_time   15.001 s | start (np.int64(0), np.int64(50), np.int64(40)) -> final (0, 63, 25)
  id   35 | status    safe | exit_time   10.534 s | start (np.int64(0), np.int64(35), np.int64(19)) -> final (0, 63, 24)
  id   36 | status    safe | exit_time   17.871 s | start (np.int64(0), np.int64(38), np.int64(10)) -> final (0, 63, 24)
  id   37 | status    safe | exit_time   14.050 s | start (np.int64(0), np.int64(10), np.int64(48)) -> final (0, 0, 25)
  id   38 | status    safe | exit_time   11.016 s | start (np.int64(0), np.int64(46), np.int64(42)) -> final (0, 63, 25)
  id   39 | status    safe | exit_time   10.495 s | start (np.int64(0), np.int64(53), np.int64(11)) -> final (0, 63, 24)
  id   40 | status    safe | exit_time   10.511 s | start (np.int64(0), np.int64(52), np.int64(43)) -> final (0, 63, 25)
  id   41 | status    safe | exit_time   22.020 s | start (np.int64(0), np.int64(24), np.int64(2)) -> final (0, 0, 24)
  id   42 | status    safe | exit_time   13.954 s | start (np.int64(0), np.int64(45), np.int64(42)) -> final (0, 63, 25)
  id   43 | status    safe | exit_time   19.693 s | start (np.int64(0), np.int64(37), np.int64(3)) -> final (0, 63, 24)
  id   44 | status    safe | exit_time   14.744 s | start (np.int64(0), np.int64(62), np.int64(45)) -> final (0, 63, 25)
  id   45 | status    safe | exit_time   14.516 s | start (np.int64(0), np.int64(60), np.int64(30)) -> final (0, 63, 25)
  id   46 | status    safe | exit_time   10.965 s | start (np.int64(0), np.int64(52), np.int64(12)) -> final (0, 63, 24)
  id   47 | status    safe | exit_time   11.504 s | start (np.int64(0), np.int64(4), np.int64(15)) -> final (0, 0, 24)
  id   48 | status    safe | exit_time   15.652 s | start (np.int64(0), np.int64(37), np.int64(11)) -> final (0, 63, 24)
  id   49 | status    safe | exit_time   10.392 s | start (np.int64(0), np.int64(48), np.int64(6)) -> final (0, 63, 24)
  id   50 | status    safe | exit_time   15.018 s | start (np.int64(0), np.int64(9), np.int64(47)) -> final (0, 0, 25)
  id   51 | status    safe | exit_time    7.704 s | start (np.int64(0), np.int64(50), np.int64(29)) -> final (0, 63, 25)
  id   52 | status    safe | exit_time    7.920 s | start (np.int64(0), np.int64(48), np.int64(34)) -> final (0, 63, 25)
  id   53 | status    safe | exit_time   11.363 s | start (np.int64(0), np.int64(59), np.int64(34)) -> final (0, 63, 25)
  id   54 | status    safe | exit_time   17.671 s | start (np.int64(0), np.int64(22), np.int64(7)) -> final (0, 0, 24)
  id   55 | status    safe | exit_time   15.708 s | start (np.int64(0), np.int64(25), np.int64(15)) -> final (0, 0, 24)
  id   56 | status    safe | exit_time   12.978 s | start (np.int64(0), np.int64(49), np.int64(48)) -> final (0, 63, 25)
  id   57 | status    safe | exit_time   20.838 s | start (np.int64(0), np.int64(22), np.int64(34)) -> final (0, 0, 25)
  id   58 | status    safe | exit_time   13.396 s | start (np.int64(0), np.int64(43), np.int64(1)) -> final (0, 63, 24)
  id   59 | status    safe | exit_time    9.468 s | start (np.int64(0), np.int64(48), np.int64(13)) -> final (0, 63, 24)
  id   60 | status    safe | exit_time   10.985 s | start (np.int64(0), np.int64(9), np.int64(37)) -> final (0, 0, 25)
  id   61 | status    safe | exit_time   14.701 s | start (np.int64(0), np.int64(59), np.int64(38)) -> final (0, 63, 25)
  id   62 | status    safe | exit_time   10.927 s | start (np.int64(0), np.int64(5), np.int64(11)) -> final (0, 0, 24)
  id   63 | status    safe | exit_time   17.085 s | start (np.int64(0), np.int64(31), np.int64(9)) -> final (0, 0, 24)
  id   64 | status    safe | exit_time   13.650 s | start (np.int64(0), np.int64(32), np.int64(5)) -> final (0, 63, 24)
