id,start_i,start_j,exit_time_s
230,4,42,101.25320112201855
231,26,12,158.75810785826081
232,39,65,116.9536654640105
233,41,47,161.02543069321086
234,46,62,87.59478004340168
235,39,44,130.34555153722505
236,44,64,84.21671018516444
237,38,3,120.18369506617951
238,47,22,79.57881903493306
239,9,9,85.10211519733465
240,28,20,155.2288494422967
241,36,11,141.26147065314208
242,25,14,135.06142753124476
243,44,35,342.0923314197223
244,32,5,129.05322696353565
245,6,37,125.80733379443117
246,43,41,102.93205314730484
247,28,15,119.92986039489533
248,20,12,147.73901603299254
249,45,52,135.25937039237044
250,31,16,126.22584014531336
251,25,10,149.84407479278616
252,22,3,185.31878137031632
253,42,61,160.13673879227312
254,28,21,369.9612576441336
255,38,4,143.2182490595478
256,8,20,126.74149978217419
257,15,6,444.5485664462015
258,47,45,125.74285185501564
259,26,16,191.7055739146194
260,7,63,223.4721445422272
261,6,34,118.9432134034149
262,26,6,193.12688257216914
263,45,4,62.68081617314547
264,47,50,41.20890090632634
265,44,2,90.37177378036017
266,45,54,106.87352665263919
267,8,45,131.58406304501815
268,7,6,63.01268555806984
269,36,7,158.44623817498254
270,9,39,167.25980386892908
271,6,46,79.52605277544421
272,10,17,150.68954962145602
273,6,25,103.44548342646885
274,40,7,124.19780588049863
275,34,15,123.2097947125437
276,6,35,82.38146660113995
277,13,18,124.44409658758858
278,10,62,107.96666136290902
279,39,33,146.78455862131392
280,3,45,58.376847948032065
281,36,13,107.48258655199439
282,41,39,354.161024548692
283,12,6,116.85399861238979
284,38,32,262.17845555819287
285,17,8,133.7805372811059
286,5,25,59.354550540991184
287,38,46,87.52639412749303
288,4,20,81.82698536727617
289,37,20,144.83818714874423
290,35,3,243.34823839512532
291,9,48,113.4860571977003
292,18,10,127.56345069826627
293,43,11,63.93686641164218
294,2,8,30.667880908317983
295,25,7,128.46260855212452
296,47,25,158.25781247209903
297,42,4,103.15203849631318
298,35,2,122.05348743497856
299,9,15,97.25444551152302
300,28,5,192.26728034486794
301,38,53,124.86158051393784
302,22,11,210.58246106278114
303,11,10,144.72914843834107
304,3,36,90.71813520296129
305,22,3,151.75211591083817
306,11,8,311.95632127027943
307,41,39,175.97319778067487
308,38,11,119.09101476711743
309,38,50,82.83327896450558
310,43,14,51.52094718494381
311,4,4,78.77363812687176
312,23,2,255.6725253991066
313,3,54,49.91875428080024
314,31,21,164.33864440431822
315,46,62,44.85478981248906
316,23,7,134.15193036608926
317,47,65,26.925540890029527
318,2,31,38.13367110670556
319,9,58,123.70559141918986
320,37,5,106.54356013929949
321,9,54,64.55440002320442
322,43,23,58.31609642100333
323,32,5,199.90144970793764
324,17,7,180.325681528964
325,5,22,57.330548620302025
326,31,12,126.56302669852289
327,10,37,243.157623737241
328,10,56,82.01430411286879
329,7,17,153.70127867646738
330,2,63,42.328077731053085
331,3,47,57.41292123643134
332,11,66,149.36618326325456
333,29,67,291.68924660753214
334,42,43,93.41983234205577
335,16,20,112.14014770743333
336,35,11,111.01200105560594
337,46,31,105.30138824212618
338,13,2,194.40952226825914
339,38,53,111.75810559902622
340,5,33,83.07633814923781
341,4,47,42.322717036162864
342,17,11,93.06275970491734
343,8,4,133.1211055496732
344,10,16,100.07580287819863
345,40,19,156.94335114633566
346,5,7,71.33923488743271
347,2,21,84.9226791324343
348,7,8,62.50403268941759
349,30,14,178.23339011388612
350,16,8,119.76456427980739
351,8,18,156.03585729751288
352,14,7,145.3617129414257
353,14,2,128.30667567048943
354,6,44,103.96956440564624
355,40,45,72.1765353707063
356,30,15,205.8716799252171
357,21,7,168.67289140314614
358,16,21,220.57852420416936
359,26,18,142.67932503996013
360,5,8,47.61124367128961
